t,x,y,vx,vy,ax,ay,z,vz,az
0.0667,0.00147,-0.000121,-0.0112,-0.0383,-0.682,-0.33,0.031,-0.00657,-0.13
0.1,0.000858,-0.00182,-0.043,-0.0427,-0.987,0.214,0.0308,-0.00831,-0.369
0.133,-0.0014,-0.00297,-0.0811,-0.0216,-1.64,0.622,0.0304,-0.0298,-0.986
0.167,-0.00455,-0.00327,-0.146,-8.31e-05,-1.46,0.516,0.0289,-0.0748,-2.23
0.2,-0.0111,-0.00297,-0.192,0.0129,-0.336,0.261,0.0255,-0.173,-2.95
0.233,-0.0174,-0.00241,-0.163,0.0172,1.02,-0.07,0.0173,-0.282,-2.03
0.267,-0.022,-0.00183,-0.12,0.00889,1.39,-0.15,0.00664,-0.311,-0.0804
0.3,-0.0254,-0.00182,-0.0725,0.00422,1.58,-0.188,-0.00341,-0.282,1.99
0.333,-0.0268,-0.00155,-0.0131,-0.000123,1.8,-0.0765,-0.0122,-0.185,2.66
0.367,-0.0262,-0.00182,0.0472,-0.00435,1.92,-0.252,-0.0158,-0.0879,2.31
0.4,-0.0236,-0.00184,0.114,-0.0129,2.49,-0.0377,-0.018,-0.0409,1.42
0.433,-0.0186,-0.00268,0.211,-0.0128,2.32,0.404,-0.0185,0.00907,1.37
0.467,-0.00956,-0.00269,0.28,0.017,0.877,0.586,-0.0174,0.0504,1.13
0.5,7.18e-05,-0.00155,0.267,0.03,-1.05,0.182,-0.0151,0.0844,1.15
0.534,0.00823,-0.000686,0.208,0.0255,-1.97,-0.438,-0.0118,0.125,1.35
0.567,0.0139,0.000156,0.133,0.00432,-2.22,-0.408,-0.00677,0.176,0.742
0.6,0.0171,-0.000398,0.0594,-0.00871,-2.13,-0.292,-6.42e-05,0.181,-0.228
0.634,0.0179,-0.000425,-0.00914,-0.00876,-2.11,-0.206,0.0053,0.153,-0.829
0.667,0.0165,-0.000982,-0.0801,-0.0247,-2.06,-0.218,0.0101,0.129,-1.36
0.7,0.0125,-0.00207,-0.149,-0.0255,-1.38,0.0675,0.0139,0.0654,-1.58
0.734,0.00658,-0.00268,-0.176,-0.0172,-0.719,0.352,0.0145,0.0127,-1.5
0.767,0.000822,-0.00322,-0.189,-0.00443,-0.513,0.334,0.0147,-0.0251,-1.51
0.8,-0.00602,-0.00298,-0.214,0.00814,-0.195,0.288,0.0128,-0.0915,-2.63
0.834,-0.0134,-0.00268,-0.205,0.0129,0.894,-0.101,0.00863,-0.196,-1.96
0.867,-0.0197,-0.00212,-0.153,0.00413,2.05,-0.0392,-0.000242,-0.241,0.0555
0.9,-0.0236,-0.0024,-0.068,0.0043,2.62,0.114,-0.00743,-0.18,2.16
0.934,-0.0242,-0.00184,0.0254,0.0171,2.78,0.0742,-0.0122,-0.0967,2.48
0.967,-0.0219,-0.00126,0.116,0.00869,2.76,-0.223,-0.0139,-0.0116,2.56
1.0,-0.0165,-0.00126,0.21,-0.000139,2.17,-0.148,-0.013,0.0715,1.83
1.03,-0.00794,-0.00127,0.266,-8.1e-05,0.804,0.148,-0.00911,0.118,0.87
1.07,0.0012,-0.00126,0.261,0.0087,-0.64,-0.141,-0.00516,0.123,0.105
1.1,0.00947,-0.000691,0.222,-0.00406,-1.69,-0.179,-0.000936,0.126,-0.162
1.13,0.016,-0.00153,0.149,-0.0123,-2.67,-0.0467,0.00323,0.113,-1.11
1.17,0.0194,-0.00151,0.0431,-0.000336,-3.73,-0.00916,0.00658,0.0548,-1.04
1.2,0.0189,-0.00155,-0.0983,-0.0133,-3.8,-0.254,0.00688,0.0293,-0.718
1.23,0.0129,-0.0024,-0.219,-0.0212,-2.46,-0.0269,0.00853,0.023,-1.13
1.27,0.00425,-0.00297,-0.261,-0.0128,-1.05,0.328,0.00842,-0.0496,-2.55
1.3,-0.00455,-0.00325,-0.282,2.69e-05,0.599,0.437,0.00523,-0.149,-1.72
1.33,-0.0145,-0.00297,-0.235,0.017,2.22,0.221,-0.00151,-0.176,0.822
1.37,-0.0202,-0.00212,-0.12,0.0171,2.94,-0.0684,-0.00653,-0.088,2.75
1.4,-0.0226,-0.00183,-0.0386,0.00889,2.07,-0.223,-0.00738,0.0153,2.72
1.43,-0.0228,-0.00153,0.0155,0.0041,1.57,0.0991,-0.00551,0.0908,1.17
1.47,-0.0215,-0.00155,0.0647,0.0123,1.46,-0.035,-0.00132,0.101,-0.00129
1.5,-0.0185,-0.000711,0.114,0.00855,1.55,-0.43,0.00123,0.0785,-0.618
